b'The following solver is parallelized by UG version 0.9.1 [GitHash: ]\n'
b'SCIP version 7.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 5.0.2] [GitHash: e9d280a398]\n'
b'Copyright (C) 2002-2020 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)\n'
b'External codes: \n'
b'  Readline 7.0         GNU library for command line editing (gnu.org/s/readline)\n'
b'  SoPlex 5.0.2         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: e24c304e]\n'
b'  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)\n'
b'  ZLIB 1.2.11          General purpose compression library by J. Gailly and M. Adler (zlib.net)\n'
b'  GMP 6.1.2            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)\n'
b'  ZIMPL 3.4.0          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)\n'
b'Default LC presolving (default).\n'
b'Original Problem   :\n'
b'  Problem name     : 001\n'
b'  Variables        : 5320 (1200 binary, 0 integer, 0 implicit integer, 4120 continuous)\n'
b'  Constraints      : 13850\n'
b'  Objective sense  : minimize\n'
b'Presolved Problem  :\n'
b'  Variables        : 1489 (446 binary, 0 integer, 0 implicit integer, 1043 continuous)\n'
b'  Constraints      : 1661\n'
b'Constraints        : Number\n'
b'  knapsack         : 10 \n'
b'  setppc           : 124 \n'
b'  linear           : 1522 \n'
b'  logicor          : 5 \n'
b'** Instance transfer method used: 0\n'
b'** ParaScipInstance copy does not increase the number of variables. **\n'
b'LC is working with racing ramp-up and with rebuilding tree after racing.\n'
b'                               Nodes    Active                                            \n'
b'     Time          Nodes        Left   Solvers     Best Integer        Best Node       Gap     Best Node(S)    Gap(S)\n'
b'     1233        2578815      453421         8           1.1837           0.0000         -           0.0758         -\n'
b'     1238        2589122      454712         8           1.1837           0.0000         -           0.0758         -\n'
b'     1243        2599848      456022         8           1.1837           0.0000         -           0.0759         -\n'
b'     1248        2609917      457297         8           1.1837           0.0000         -           0.0779         -\n'
b'     1254        2620730      458754         8           1.1837           0.0000         -           0.0779         -\n'
b'     1259        2631481      460084         8           1.1837           0.0000         -           0.0779         -\n'
b'     1264        2642957      461567         8           1.1837           0.0000         -           0.0779         -\n'
b'     1269        2654678      463026         8           1.1837           0.0000         -           0.0783         -\n'
b'     1274        2665652      464525         8           1.1837           0.0000         -           0.0783         -\n'
b'     1279        2676991      465902         8           1.1837           0.0000         -           0.0792         -\n'
b'     1284        2687528      467310         8           1.1837           0.0000         -           0.0792         -\n'
b'     1289        2697481      468764         8           1.1837           0.0000         -           0.0792         -\n'
b'     1294        2708835      470177         8           1.1837           0.0000         -           0.0792         -\n'
b'     1299        2720210      471700         8           1.1837           0.0000         -           0.0792         -\n'
b'     1304        2730779      473192         8           1.1837           0.0000         -           0.0792         -\n'
b'     1309        2740765      474616         8           1.1837           0.0000         -           0.0792         -\n'
b'     1314        2750926      476032         8           1.1837           0.0000         -           0.0796         -\n'
b'     1320        2761534      477563         8           1.1837           0.0000         -           0.0817         -\n'
b'     1325        2773153      479006         8           1.1837           0.0000         -           0.0817         -\n'
b'     1330        2784266      480416         8           1.1837           0.0000         -           0.0820         -\n'
b'     1335        2794978      481937         8           1.1837           0.0000         -           0.0823         -\n'
b'     1340        2805795      483418         8           1.1837           0.0000         -           0.0823         -\n'
b'     1345        2817834      484856         8           1.1837           0.0000         -           0.0844         -\n'
b'     1350        2828805      486416         8           1.1837           0.0000         -           0.0845         -\n'
b'     1355        2840900      488030         8           1.1837           0.0000         -           0.0864         -\n'
b'     1360        2853386      489682         8           1.1837           0.0000         -           0.0871         -\n'
b'     1365        2864353      491307         8           1.1837           0.0000         -           0.0871         -\n'
b'     1370        2876797      492880         8           1.1837           0.0000         -           0.0879         -\n'
b'     1375        2889368      494596         8           1.1837           0.0000         -           0.0879         -\n'
b'     1380        2899641      495913         8           1.1837           0.0000         -           0.0888         -\n'
b'     1386        2910538      497340         8           1.1837           0.0000         -           0.0890         -\n'
b'     1391        2921597      498750         8           1.1837           0.0000         -           0.0891         -\n'
b'     1396        2934065      500160         8           1.1837           0.0000         -           0.0891         -\n'
b'     1401        2945188      501642         8           1.1837           0.0000         -           0.0891         -\n'
b'     1406        2956466      503082         8           1.1837           0.0000         -           0.0892         -\n'
b'     1411        2967363      504614         8           1.1837           0.0000         -           0.0894         -\n'
b'     1416        2978902      506002         8           1.1837           0.0000         -           0.0894         -\n'
b'     1421        2990353      507366         8           1.1837           0.0000         -           0.0894         -\n'
